,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gain,param_probability,param_voltages,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
49,154.25747394561768,27.491908549143705,0.2674747308095296,0.010196619627217173,32894.86836474186,0.8634833547946665,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 32894.86836474186, 'probability': 0.8634833547946665, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",123.41308718768873,148.31073584577433,132.6954601425026,134.8064277253219,10.27344036102004,59
50,169.92752599716187,23.549619031861663,0.28714434305826825,0.010367263548632436,40830.87324092741,0.9456354632652709,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 0.9456354632652709, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",173.47329762902504,142.29902895980183,166.56907433114168,160.78046697332286,13.36886278191414,23
51,132.238982518514,0.8974220902089435,0.25827884674072266,0.001471766417972139,40830.87324092741,1.0488341321501657,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 1.0488341321501657, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",167.2732059006588,143.79935946854144,172.41136244733093,161.16130927217705,12.45466817201485,21
52,160.40483538309732,18.759062477962107,0.27320106824239093,0.02200788102919052,40830.87324092741,0.8651417182840926,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 0.8651417182840926, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",189.88767515360155,123.59622731112982,114.45947566233008,142.64779270902048,33.61125731761449,49
53,169.58495473861694,1.0292682220180744,0.28940971692403156,0.007710593630027602,40830.87324092741,0.8227744011042795,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 0.8227744011042795, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",129.22657525403906,167.91197541305692,131.33871503415355,142.82575523374985,17.75958174763116,48
54,131.91811323165894,1.6783622146816293,0.2633560498555501,0.010629904215056472,40830.87324092741,1.0110698135906322,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 1.0110698135906322, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",109.50166277298773,221.16410051496464,190.2192840917708,173.62834912657436,47.071359607053,8
55,159.25239729881287,20.049950679162336,0.28156860669453937,0.018407296934572437,40830.87324092741,0.8603247153784425,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 0.8603247153784425, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",178.88946141363405,137.30248984881987,176.65819334813955,164.28338153686448,19.10010517434429,18
56,173.54587864875793,2.4544514585214743,0.2849486668904622,0.007236942155885915,40830.87324092741,0.9157009564113837,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 0.9157009564113837, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",143.38125657017227,90.98083083280098,163.3799262080073,132.5806712036602,30.52754751566244,67
57,131.59833550453186,1.036529766808299,0.259318749109904,0.00804893033143052,40830.87324092741,0.9815830969555722,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 0.9815830969555722, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",55.93872969294705,127.7816995704984,144.79177852613364,109.50406926319302,38.50774726360101,95
58,159.45037905375162,19.131342730988244,0.28371230761210126,0.017754717964827263,40830.87324092741,0.8277752989207464,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 0.8277752989207464, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",156.60768354333166,153.38268158482813,173.2625812441265,161.08431545742874,8.71140163183389,22
59,143.49879336357117,18.696573651210084,0.2679941654205322,0.026783991068634837,40830.87324092741,0.8634833547946665,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 0.8634833547946665, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",160.83211297724253,156.90049417845066,167.04645743171534,161.59302152913617,4.176871153739201,20
60,158.8957225481669,18.574826031486293,0.2783470153808594,0.006705464619986875,42591.65790263999,0.9456354632652709,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42591.65790263999, 'probability': 0.9456354632652709, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",136.744169407191,224.55535872588226,180.85963961571198,180.71972258292843,35.848904446047875,6
61,160.18765966097513,18.084924786004777,0.2942374547322591,0.019382989053885896,42591.65790263999,1.0488341321501657,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42591.65790263999, 'probability': 1.0488341321501657, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",86.02897487793688,123.18689463838082,124.7236268143684,111.31316544356203,17.88962652608703,94
62,145.87006743748984,20.046832753219032,0.2801189422607422,0.03663559567513927,42591.65790263999,0.8651417182840926,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42591.65790263999, 'probability': 0.8651417182840926, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",128.85956690638054,148.54305345925343,93.55742519826957,123.6533485213012,22.747649859837246,83
63,143.29372930526733,18.237090789201062,0.2737263838450114,0.02436037725732886,42591.65790263999,0.8227744011042795,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42591.65790263999, 'probability': 0.8227744011042795, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",115.4217359331866,138.7570838807653,144.48582585722053,132.88821522372413,12.570151027023842,66
64,168.90498201052347,1.072359121398177,0.29924527804056805,0.028205252572010082,42591.65790263999,1.0110698135906322,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42591.65790263999, 'probability': 1.0110698135906322, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",135.7203500865235,143.95247106977428,193.76025651769137,157.8110258913297,25.641143252478994,29
65,144.47848065694174,16.53080177947427,0.27888035774230957,0.03796643608103892,42591.65790263999,0.8603247153784425,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42591.65790263999, 'probability': 0.8603247153784425, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",163.70952362337462,108.20473324736925,93.56777494031314,121.82734393701901,30.212004993388078,87
66,153.87483962376913,15.206151091841358,0.28441667556762695,0.008593899525007958,42591.65790263999,0.9157009564113837,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42591.65790263999, 'probability': 0.9157009564113837, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",179.15693708154961,181.6691302328396,133.81230667382354,164.8794579960709,21.99172112510993,17
67,163.58893728256226,3.1724938207036453,0.286712646484375,0.003706471395168983,42591.65790263999,0.9815830969555722,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42591.65790263999, 'probability': 0.9815830969555722, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",107.34375472998556,128.31814972925955,131.14422832390935,122.26871092771815,10.616415533941192,85
68,142.82730531692505,17.052236770177327,0.27449695269266766,0.017053746282043352,42591.65790263999,0.8277752989207464,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42591.65790263999, 'probability': 0.8277752989207464, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",114.5889682641985,218.92358318298787,184.64797025722018,172.72017390146883,43.4214402646989,9
69,153.6067227522532,14.896155804464838,0.2836085955301921,0.025535316237177516,42591.65790263999,0.8634833547946665,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42591.65790263999, 'probability': 0.8634833547946665, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",107.55926394303974,166.88134049738537,103.40445268249687,125.94835237430732,28.993651623136625,78
70,164.20902705192566,1.5719784290504215,0.30614495277404785,0.02195023137264685,42823.82942604944,0.9456354632652709,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42823.82942604944, 'probability': 0.9456354632652709, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",141.3250606728125,126.07013299765144,214.35357760763296,160.58292375936563,38.52826335775023,24
71,143.49717672665915,15.514260554716042,0.26534461975097656,0.01613829123353733,42823.82942604944,1.0488341321501657,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42823.82942604944, 'probability': 1.0488341321501657, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",164.6981723250445,118.71782146365047,101.59935631502277,128.3384500345726,26.643104374195037,73
72,154.58482130368552,15.997930277142904,0.27594923973083496,0.013870689412292343,42823.82942604944,0.8651417182840926,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42823.82942604944, 'probability': 0.8651417182840926, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",107.12510892907501,107.29594464560064,165.41093952335333,126.61066436600966,27.43602632093668,76
73,162.2300230662028,0.8647005894094756,0.29023273785909015,0.007475530192302537,42823.82942604944,0.8227744011042795,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42823.82942604944, 'probability': 0.8227744011042795, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",185.3273995354002,168.11613481426164,163.7026443012584,172.38205955030674,9.3293835139069,10
74,143.38397002220154,16.54308750816238,0.28324294090270996,0.03483698115843887,42823.82942604944,1.0110698135906322,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42823.82942604944, 'probability': 1.0110698135906322, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",205.53815644641705,143.956706319506,139.8236183655101,163.1061603771444,30.05135961234749,19
75,153.35901339848837,14.963889120348039,0.28569332758585614,0.020284836543203753,42823.82942604944,0.8603247153784425,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42823.82942604944, 'probability': 0.8603247153784425, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",153.12729077746755,253.58912051671987,135.5147824395022,180.74373124456324,52.008897739699336,5
76,164.53494501113892,1.0422191285672573,0.2858976523081462,0.00929085719049617,42823.82942604944,0.9157009564113837,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42823.82942604944, 'probability': 0.9157009564113837, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",89.08396932185735,241.99797579865503,142.18105718431994,157.75433410161077,63.390685749319665,30
77,143.02534794807434,14.26733509480596,0.2947986125946045,0.04688416933736206,42823.82942604944,0.9815830969555722,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42823.82942604944, 'probability': 0.9815830969555722, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",210.41627902334187,180.30752532189004,205.24382005722995,198.6558748008206,13.1449617570068,1
78,150.7847466468811,13.56882638805124,0.26673436164855957,0.005582198516418185,42823.82942604944,0.8277752989207464,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42823.82942604944, 'probability': 0.8277752989207464, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",176.6408935995228,158.4590300236612,138.72915941006806,157.94302767775068,15.481700835259382,27
79,147.8981487751007,10.166428595290991,0.26540637016296387,0.006172221407101299,42823.82942604944,0.8634833547946665,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 42823.82942604944, 'probability': 0.8634833547946665, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",179.1410923772329,160.1183594382974,122.65923296346783,153.9728949263327,23.464514502541114,36
80,178.16986338297525,29.587594475540218,0.319649616877238,0.024097984847723075,40888.4382600835,0.9456354632652709,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40888.4382600835, 'probability': 0.9456354632652709, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",96.15836967311877,123.30844500042842,155.36055232294993,124.94245566549904,24.196791808917776,79
81,161.67510676383972,33.65999389250255,0.30174072583516437,0.035058350831291066,40888.4382600835,1.0488341321501657,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40888.4382600835, 'probability': 1.0488341321501657, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",167.20579786695438,168.15771326724894,129.58676037166637,154.98342383528993,17.96235734428608,33
82,135.64674202601114,0.8256796020185537,0.2891499996185303,0.012496918459540153,40888.4382600835,0.8651417182840926,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40888.4382600835, 'probability': 0.8651417182840926, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",139.36023260787354,115.12976378031459,118.77060072760928,124.42019903859914,10.668251206499939,81
83,136.53461122512817,0.6434435882401891,0.27713267008463544,0.003952421383238319,40888.4382600835,0.8227744011042795,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40888.4382600835, 'probability': 0.8227744011042795, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",144.18834973662106,141.50363171511856,153.46135030513787,146.38444391895916,5.122751911020599,45
84,188.6432864665985,36.185560608774814,0.3388306299845378,0.047835159592410026,40888.4382600835,1.0110698135906322,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40888.4382600835, 'probability': 1.0110698135906322, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",141.98501522721952,184.7433014475996,135.616078550306,154.11479840837504,21.813141870845882,35
85,162.3671519756317,36.931535560633336,0.29950936635335285,0.03295464873399689,40888.4382600835,0.8603247153784425,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40888.4382600835, 'probability': 0.8603247153784425, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",192.7019270564757,193.47926524104432,109.69653302492583,165.29257510748195,39.313619227076266,16
86,138.2898739973704,1.0564903851165675,0.2668157418568929,0.008194363229710332,40888.4382600835,0.9157009564113837,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40888.4382600835, 'probability': 0.9157009564113837, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",99.51260771900593,134.08050999617288,104.85388736158752,112.81566835892211,15.193802123411585,93
87,139.14217400550842,0.9178981560040019,0.27102454503377277,0.007532651040539232,40888.4382600835,0.9815830969555722,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40888.4382600835, 'probability': 0.9815830969555722, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",103.38912627778952,141.92178052421932,122.16023911830155,122.4903819734368,15.732622297788838,84
88,137.4036103884379,0.9315900512868931,0.2705255349477132,0.004105058629654489,40888.4382600835,0.8277752989207464,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40888.4382600835, 'probability': 0.8277752989207464, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",121.00981386941992,106.092385468812,168.30148814859166,131.80122916227452,26.518347071074956,68
89,188.56655399004617,35.31881356319287,0.338744322458903,0.042310614140158846,40888.4382600835,0.8634833547946665,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40888.4382600835, 'probability': 0.8634833547946665, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",158.63211249820554,159.62878498261958,103.77603790643418,140.67897846241976,26.097491645357433,51
90,162.24717696507773,33.328298601990994,0.3202323118845622,0.05401083540685719,53895.87512126505,0.9456354632652709,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 53895.87512126505, 'probability': 0.9456354632652709, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",164.90546815095766,142.2349776464882,109.27416918788522,138.804871661777,22.840527962074336,55
91,138.08798122406006,0.5026693757073525,0.2849725882212321,0.013938036356942867,53895.87512126505,1.0488341321501657,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 53895.87512126505, 'probability': 1.0488341321501657, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",101.8279705020733,105.38475190468974,107.23716176696513,104.81662805790938,2.244535744722562,97
92,137.88558872540793,0.33984371897354976,0.27391862869262695,0.004268451446496784,53895.87512126505,0.8651417182840926,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 53895.87512126505, 'probability': 0.8651417182840926, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",124.06343358608126,113.41689897385932,148.32619069081935,128.60217441691998,14.608554304290239,72
93,184.15273769696554,34.699809674633464,0.304434855779012,0.037509036784293376,53895.87512126505,0.8227744011042795,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 53895.87512126505, 'probability': 0.8227744011042795, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",134.88150108649157,159.48000384508268,106.83366017248566,133.7317217013533,21.508151477973268,64
94,138.47918558120728,0.7179162208054569,0.2729025681813558,0.0020984550560085406,53895.87512126505,1.0110698135906322,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 53895.87512126505, 'probability': 1.0110698135906322, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",140.6244984638709,170.2026523129086,143.58819035361796,151.47178037679916,13.299875689131774,38
95,162.04016407330832,34.96832099618796,0.3028279145558675,0.03724608233221248,53895.87512126505,0.8603247153784425,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 53895.87512126505, 'probability': 0.8603247153784425, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",84.60030761018658,168.22357035645987,141.39081001802705,131.40489599489118,34.86164441752723,69
96,137.0306404431661,1.2148244194588749,0.27579911549886066,0.0050748539123569554,53895.87512126505,0.9157009564113837,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 53895.87512126505, 'probability': 0.9157009564113837, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",142.8325488292924,186.26831555167473,88.90771840802752,139.3361942629982,39.824111963163105,54
97,134.33389719327292,1.7752248220469036,0.2595796585083008,0.008456252536853072,53895.87512126505,0.9815830969555722,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 53895.87512126505, 'probability': 0.9815830969555722, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",66.21499097785977,109.80802420964518,88.27767145634009,88.10022888128168,17.797223584733086,100
98,146.4295752843221,9.376835558299051,0.24179458618164062,0.00510376058706585,53895.87512126505,0.8277752989207464,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 53895.87512126505, 'probability': 0.8277752989207464, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",107.09043852358583,171.93462805507696,198.44363931873477,159.15623529913253,38.37375244398685,26
99,124.7631863753001,6.417058094530628,0.21230443318684897,0.016825392719507223,53895.87512126505,0.8634833547946665,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 53895.87512126505, 'probability': 0.8634833547946665, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",134.13228041589616,110.65188883931194,111.81598167540733,118.86671697687181,10.804839914467959,90
